Type,Location,Part of Linkoping,Year Built,Rooms,Living Area,Land Area,price
House,Linkoping,Berga,1966,4,108,560.0,3720000
Apartment,Linkoping,Berga,1963,2,59.0,0,1560000
Apartment,Linkoping,Berga,1963,2,61.5,0.0,1615000
Apartment,Linkoping,Berga,1963,4,88.5,0.0,1995000
Apartment,Linkoping,Berga,1963,3,75.5,0.0,1375000
Apartment,Linkoping,Berga,2018,2,55.0,0.0,1600000
House,Linkoping,Berga,1963,5,126.0,17.0,2300000
House,Linkoping,Berga,1963,6,185.0,516.0,4850000
House,Linkoping,Berga,1963,6,113.0,386.0,3595000
House,Linkoping,Berga,1964,7,148.0,751.0,5800000
Apartment,Linkoping,Berga,2019,3,79.0,0.0,2295000
Apartment,Linkoping,Berga,2020,1,35.5,0.0,1240000
Apartment,Linkoping,Berga,2020,3,79.0,0.0,2895000
Apartment,Linkoping,Berga,2020,3,59.5,0.0,1800000
Apartment,Linkoping,Berga,2020,1,35.5,0.0,1225000
Apartment,Linkoping,Berga,2018,3,55.0,0.0,2295000
Apartment,Linkoping,Berga,2021,1,35.5,0.0,1395000
Apartment,Linkoping,Berga,2020,2,62.0,0.0,2200000
Apartment,Linkoping,Berga,2019,2,55.0,0.0,1900000
Apartment,Linkoping,Berga,2019,2,55.0,0.0,2195000
Apartment,Linkoping,Berga,2018,3,79.0,0.0,2890000
Apartment,Linkoping,Berga,2018,3,79.0,0.0,3100000
House,Linkoping,Berga,1963,6,163.0,481.0,4795000
House,Linkoping,Berga,1964,5,123.0,451.0,4425000
House,Linkoping,Berga,1970,5,140,600.0,4491760
Apartment,Linkoping,Berga,2015,3,68,0,2181712
House,Linkoping,Berga,1985,6,180,750.0,5775120
Apartment,Linkoping,Berga,2018,2,45,0,1443780
House,Linkoping,Berga,1990,4,110,550.0,3529240
Apartment,Linkoping,Berga,2021,4,85,0,2727140
House,Linkoping,Berga,1965,7,200,800.0,6416800
Apartment,Linkoping,Berga,2020,3,72,0,2302048
House,Linkoping,Berga,1978,5,150,650.0,4812600
Apartment,Linkoping,Berga,2019,1,30,0,962520
House,Linkoping,Berga,1980,6,160,700.0,5133440
Apartment,Linkoping,Berga,2017,2,50,0,1604200
House,Linkoping,Berga,1995,4,100,500.0,3208400
Apartment,Linkoping,Berga,2022,3,80,0,2566720
House,Linkoping,Berga,1972,5,135,680.0,4331340
Apartment,Linkoping,Berga,2016,2,55,0,1764620
House,Linkoping,Berga,1983,6,170,750.0,5454280
Apartment,Linkoping,Berga,2021,1,40,0,1283360
House,Linkoping,Berga,1998,5,145,600.0,4652180
Apartment,Linkoping,Berga,2023,3,75,0,2406300
House,Linkoping,Berga,1980,5,120,300,3500000
House,Linkoping,Berga,1980,5,120,400,3700000
House,Linkoping,Berga,1980,5,120,500,3900000
House,Linkoping,Berga,1980,5,120,600,4100000
House,Linkoping,Berga,1980,5,120,700,4300000
House,Linkoping,Berga,1980,5,120,800,4500000
House,Linkoping,Berga,1980,5,120,900,4700000
House,Linkoping,Berga,1980,5,120,1000,4900000
House,Linkoping,Berga,1980,5,120,1100,5100000
House,Linkoping,Berga,1980,5,120,1200,5300000
Apartment,Linkoping,Ramshall,1926,6,153.0,0.0,4100000
Apartment,Linkoping,Ramshall,1937,3,65.0,0.0,2395000
Apartment,Linkoping,Ramshall,1937,4,100.0,0.0,3200000
Apartment,Linkoping,Ramshall,1937,2,49.0,0.0,1950000
Apartment,Linkoping,Ramshall,1937,4,100.0,0.0,3150000
Apartment,Linkoping,Ramshall,1936,6,140.0,0.0,3975000
Apartment,Linkoping,Ramshall,1936,4,100.0,0.0,3300000
Apartment,Linkoping,Ramshall,1933,2,45.0,0.0,1395000
Apartment,Linkoping,Ramshall,1933,4,117.0,0.0,3825000
Apartment,Linkoping,Ramshall,1933,2,63.0,0.0,1895000
Apartment,Linkoping,Ramshall,1935,3,75.0,0.0,2500000
Apartment,Linkoping,Ramshall,1938,5,110.0,0.0,3600000
Apartment,Linkoping,Ramshall,1940,2,50.0,0.0,2100000
Apartment,Linkoping,Ramshall,1945,4,95.0,0.0,3100000
Apartment,Linkoping,Ramshall,1942,3,80.0,0.0,2750000
Apartment,Linkoping,Ramshall,1939,6,120.0,0.0,4000000
Apartment,Linkoping,Ramshall,1941,5,105.0,0.0,3400000
Apartment,Linkoping,Ramshall,1934,4,90.0,0.0,2800000
Apartment,Linkoping,Ramshall,1943,2,55.0,0.0,2200000
Apartment,Linkoping,Ramshall,1932,4,100.0,0.0,3000000
House,Linkoping,Ramshall,1941,5,149.0,1013.0,5495000
House,Linkoping,Ramshall,1948,6,174.0,1083.0,7500000
House,Linkoping,Ramshall,1939,13,364.0,1045.0,6700000
House,Linkoping,Ramshall,1947,7,170.0,522.0,3650000
House,Linkoping,Ramshall,1923,5,148.0,653.0,8600000
House,Linkoping,Ramshall,1930,5,148.0,455.0,5975000
House,Linkoping,Ramshall,1922,5,136.0,683.0,4610000
House,Linkoping,Ramshall,1941,5,149.0,500.0,2707355
House,Linkoping,Ramshall,1941,5,149.0,800.0,4325768
House,Linkoping,Ramshall,1941,5,149.0,1000.0,5407200
House,Linkoping,Ramshall,1941,5,149.0,1200.0,6488642
House,Linkoping,Ramshall,1941,5,149.0,1500.0,8110778
House,Linkoping,Ramshall,1950,4,100.0,1000,5530000
House,Linkoping,Ramshall,1950,4,120.0,1000,6230000
House,Linkoping,Ramshall,1950,5,174.0,1000,6930000
House,Linkoping,Ramshall,1950,5,200.0,1000,7530000
House,Linkoping,Ramshall,1950,6,250.0,1000,8230000
Apartment,Linkoping,Ramshall,1926,1,25.0,0.0,670588
Apartment,Linkoping,Ramshall,1937,1,30.0,0.0,1107692
Apartment,Linkoping,Ramshall,1937,1,35.0,0.0,1200000
Apartment,Linkoping,Ramshall,1937,1,28.0,0.0,1114286
Apartment,Linkoping,Ramshall,1937,1,36.0,0.0,1188000
Apartment,Linkoping,Ramshall,1936,1,32.0,0.0,907143
Apartment,Linkoping,Ramshall,1936,1,40.0,0.0,942857
House,Linkoping,Ramshall,1933,2,60.0,350.0,2100000
House,Linkoping,Ramshall,1933,2,65.0,400.0,2250000
House,Linkoping,Ramshall,1933,3,90.0,470.0,3150000
House,Linkoping,Ramshall,1935,3,85.0,420.0,2990000
House,Linkoping,Ramshall,1938,4,100.0,500.0,3925000
Apartment,Linkoping,Ramshall,1939,1,40.0,0.0,1333333
Apartment,Linkoping,Ramshall,1941,1,30.0,0.0,971429
Apartment,Linkoping,Ramshall,1934,1,28.0,0.0,868571
Apartment,Linkoping,Ramshall,1943,1,33.0,0.0,1100000
Apartment,Linkoping,Ekholmen,1974,3,79.0,0.0,1895000
Apartment,Linkoping,Ekholmen,1975,2,55.0,0.0,1320000
Apartment,Linkoping,Ekholmen,1976,3,82.0,0.0,1968000
Apartment,Linkoping,Ekholmen,1974,4,95.0,0.0,2285000
Apartment,Linkoping,Ekholmen,1973,2,50.0,0.0,1200000
Apartment,Linkoping,Ekholmen,1977,1,40.0,0.0,960000
Apartment,Linkoping,Ekholmen,1975,3,79.0,0.0,1895000
Apartment,Linkoping,Ekholmen,1973,4,105.0,0.0,2520000
Apartment,Linköping,Ekholmen,1959,3,79.0,0.0,1860000
Apartment,Linköping,Ekholmen,1955,3,79.0,0.0,1805000
Apartment,Linköping,Ekholmen,1950,3,79.0,0.0,1750000
Apartment,Linköping,Ekholmen,1945,3,79.0,0.0,1700000
Apartment,Linköping,Ekholmen,1940,3,79.0,0.0,1645000
Apartment,Linköping,Ekholmen,1935,3,79.0,0.0,1590000
Apartment,Linköping,Ekholmen,1930,3,79.0,0.0,1535000
Apartment,Linköping,Ekholmen,1925,3,79.0,0.0,1480000
Apartment,Linköping,Ekholmen,1920,3,79.0,0.0,1425000
House,Linköping,Ekholmen,1959,5,120.0,500.0,2480000
House,Linköping,Ekholmen,1955,5,120.0,500.0,2400000
House,Linköping,Ekholmen,1950,5,120.0,500.0,2320000
House,Linköping,Ekholmen,1945,5,120.0,500.0,2240000
House,Linköping,Ekholmen,1940,5,120.0,500.0,2160000
House,Linköping,Ekholmen,1935,5,120.0,500.0,2080000
House,Linköping,Ekholmen,1930,5,120.0,500.0,2000000
House,Linköping,Ekholmen,1925,5,120.0,500.0,1920000
House,Linköping,Ekholmen,1920,5,120.0,500.0,1840000
Apartment,Linkoping,Ekholmen,1973,3,90.0,0.0,2160000
Apartment,Linkoping,Ekholmen,1973,3,100.0,0.0,2400000
Apartment,Linkoping,Ekholmen,1973,3,110.0,0.0,2640000
Apartment,Linkoping,Ekholmen,1973,3,120.0,0.0,2880000
Apartment,Linkoping,Ekholmen,1973,3,130.0,0.0,3120000
House,Linköping,Ekholmen,1959,5,120.0,500.0,2480000
House,Linköping,Ekholmen,1955,5,120.0,600.0,2520000
House,Linköping,Ekholmen,1950,5,120.0,700.0,2560000
House,Linköping,Ekholmen,1945,5,120.0,800.0,2600000
House,Linköping,Ekholmen,1940,5,120.0,900.0,2640000
House,Linköping,Ekholmen,1935,5,120.0,1000.0,2680000
House,Linköping,Ekholmen,1930,5,120.0,1100.0,2720000
House,Linköping,Ekholmen,1925,5,120.0,1200.0,2760000
House,Linköping,Ekholmen,1920,5,120.0,1300.0,2800000
Apartment,Linköping,Ekholmen,1975,1,40.0,0.0,850000
Apartment,Linköping,Ekholmen,1978,1,42.0,0.0,900000
Apartment,Linköping,Ekholmen,1980,1,38.0,0.0,820000
Apartment,Linköping,Ekholmen,1974,1,45.0,0.0,950000
Apartment,Linköping,Ekholmen,1972,1,35.0,0.0,800000
Apartment,Linköping,Ekholmen,1976,1,39.0,0.0,860000
Apartment,Linköping,Ekholmen,1979,1,41.0,0.0,890000
Apartment,Linkoping,Skaggetorp,1966,97.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,1966,2,97.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,1970,3,85.0,0.0,1250000
Apartment,Linkoping,Skaggetorp,1980,3,70.0,0.0,1000000
Apartment,Linkoping,Skaggetorp,1990,2,60.0,0.0,857000
Apartment,Linkoping,Skaggetorp,1995,2,75.0,0.0,900000
Apartment,Linkoping,Skaggetorp,2000,3,80.0,0.0,1200000
Apartment,Linkoping,Skaggetorp,2005,2,90.0,0.0,1350000
Apartment,Linkoping,Skaggetorp,2010,3,100.0,0.0,1500000
Apartment,Linkoping,Skaggetorp,1966,2,97.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,1966,2,97.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,1970,3,85.0,0.0,1250000
Apartment,Linkoping,Skaggetorp,1980,3,70.0,0.0,1000000
Apartment,Linkoping,Skaggetorp,1990,2,60.0,0.0,857000
Apartment,Linkoping,Skaggetorp,1995,2,75.0,0.0,900000
Apartment,Linkoping,Skaggetorp,2000,3,80.0,0.0,1200000
Apartment,Linkoping,Skaggetorp,2005,2,90.0,0.0,1350000
Apartment,Linkoping,Skaggetorp,2010,3,100.0,0.0,1500000
Apartment,Linkoping,Skaggetorp,2011,1,70.0,0.0,1050000
Apartment,Linkoping,Skaggetorp,2012,2,60.0,0.0,800000
Apartment,Linkoping,Skaggetorp,2013,3,85.0,0.0,1275000
Apartment,Linkoping,Skaggetorp,2014,2,75.0,0.0,1125000
Apartment,Linkoping,Skaggetorp,2015,3,90.0,0.0,1350000
Apartment,Linkoping,Skaggetorp,2016,1,65.0,0.0,900000
